site_no,Year,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01451800,1995,0.34582495071220365,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1996,0.44623938451189776,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1997,0.34155979139289655,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1998,0.3064393406829704,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,1999,0.402216276046443,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2000,0.3324803547647104,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2001,0.2633014106516873,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2002,0.3182570594940632,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2003,0.4095982217356767,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2004,0.43521429053522015,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2005,0.43050732060132574,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2006,0.3496066579742037,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2007,0.3811894164398885,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2008,0.39277387484246506,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2009,0.3131407668840958,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01451800,2010,0.3363865661610066,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01516500,1981,0.518471830375306,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1982,0.3737088281263517,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1983,0.5360533470497465,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1984,0.543894815043243,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1985,0.28360370144120906,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1986,0.5658669904576156,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1987,0.47250812703175793,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1988,0.43214669527182165,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1989,0.4687974703165204,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1990,0.5028549925557501,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1991,0.29646734147789255,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1992,0.4597133991848126,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1993,0.565271209013234,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1994,0.6246294213862196,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1995,0.48865869930130124,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1996,0.6286703990623997,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1997,0.2241847546124777,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1998,0.3979711545096957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,1999,0.4193682132956871,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01516500,2000,0.4839597607826052,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
